ts,arm,locked_by,running_count
2026-09-09T09:17:12Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:12Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:13Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:13Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:13Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:15Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:15Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:15Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:16Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:16Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:16Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:18Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:18Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:18Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:20Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:20Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:20Z,r3,worker-b1d2e797e924-1788945333677,12
2026-09-09T09:17:21Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:21Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:21Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:23Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:23Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:23Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:24Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:24Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:24Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:26Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:26Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:26Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:27Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:17:27Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:27Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:29Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:29Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:29Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:30Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:17:30Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:30Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:32Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:32Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:32Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:34Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:34Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:34Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:35Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:35Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:35Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:37Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:37Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:37Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:38Z,r3,worker-3eef91eb3ced-1788945333410,7
2026-09-09T09:17:38Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:38Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:40Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:40Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:40Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:41Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:41Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:41Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:43Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:43Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:43Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:44Z,r3,worker-3eef91eb3ced-1788945333410,6
2026-09-09T09:17:44Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:44Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:46Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:46Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:46Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:48Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:48Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:48Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:49Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:49Z,r3,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:17:49Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:51Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:51Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:51Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:52Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:52Z,r3,worker-4eaf28e97fd2-1788944974367,7
